Табельный номер,Тип документа,Кол-во,Ср.время сборки(мин),Операция (Учитывается тому кто выдал на выдаче) ,Кол-во,Ср.время сборки(мин),Операция,Кол-во,Ср.время работы с переносом(мин),Операция,Кол-во,Кол-во шт.,Операция,Кол-во (учитывается кто закрыл приемку)
717861.0,Подбор,0,0,Отгрузка,0,0,Перенос(склад),3,8.35,ПСТ(зал),0,0,Приемка,0
717863.0,Подбор,0,0,Отгрузка,0,0,Перенос(склад),2,5.08,ПСТ(зал),0,0,Приемка,0
825008.0,Подбор,1,9.63,Отгрузка,0,0,Перенос(склад),0,0,ПСТ(зал),3,7,Приемка,0
825037.0,Подбор,1,0.0,Отгрузка,0,0,Перенос(склад),47,19.16,ПСТ(зал),1,1,Приемка,16
825039.0,Подбор,23,16.82,Отгрузка,2,34.27,Перенос(склад),17,26.51,ПСТ(зал),44,1998,Приемка,12
825040.0,Подбор,10,20.04,Отгрузка,10,17.83,Перенос(склад),11,6.43,ПСТ(зал),19,447,Приемка,36
825046.0,Подбор,9,21.04,Отгрузка,2,6.83,Перенос(склад),29,10.38,ПСТ(зал),10,301,Приемка,16
825052.0,Подбор,67,16.4,Отгрузка,47,11.3,Перенос(склад),70,15.69,ПСТ(зал),73,3765,Приемка,9
825053.0,Подбор,25,16.32,Отгрузка,84,15.7,Перенос(склад),10,6.14,ПСТ(зал),16,828,Приемка,1
825054.0,Подбор,71,12.15,Отгрузка,44,9.04,Перенос(склад),69,6.2,ПСТ(зал),10,276,Приемка,42
825055.0,Подбор,109,16.91,Отгрузка,63,9.11,Перенос(склад),39,31.7,ПСТ(зал),78,5428,Приемка,50
825059.0,Подбор,2,28.15,Отгрузка,15,17.21,Перенос(склад),17,26.52,ПСТ(зал),1,2,Приемка,20
825060.0,Подбор,11,16.67,Отгрузка,16,18.91,Перенос(склад),0,0,ПСТ(зал),5,149,Приемка,0
825065.0,Подбор,56,14.04,Отгрузка,57,12.78,Перенос(склад),87,14.84,ПСТ(зал),14,670,Приемка,12
825066.0,Подбор,46,14.12,Отгрузка,58,13.69,Перенос(склад),16,10.37,ПСТ(зал),14,656,Приемка,15
825070.0,Подбор,71,17.77,Отгрузка,54,17.93,Перенос(склад),7,11.75,ПСТ(зал),28,1977,Приемка,0
825072.0,Подбор,1,16.15,Отгрузка,5,14.36,Перенос(склад),0,0,ПСТ(зал),0,0,Приемка,1
825078.0,Подбор,63,19.92,Отгрузка,37,12.55,Перенос(склад),83,8.72,ПСТ(зал),101,5092,Приемка,39
825079.0,Подбор,52,20.7,Отгрузка,12,8.87,Перенос(склад),164,49.44,ПСТ(зал),86,5597,Приемка,38
825081.0,Подбор,12,48.61,Отгрузка,23,13.57,Перенос(склад),5,5.11,ПСТ(зал),6,150,Приемка,0
825116.0,Подбор,4,42.8,Отгрузка,0,0,Перенос(склад),0,0,ПСТ(зал),1,26,Приемка,0
